RUN	StarTest.Framework.StarSim	starsim	1624895277267	StarTest.Framework.StarSim-SIMULATION_1_10:SIMULATION_2_0:SIMULATION_3_0:Iterations_100	3.5.1
USER	Users_1	START	1624895278710
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895294012	1624895295014	OK	 
GROUP	,GetStarUIMemberDetail	1624895294011	1624895295014	1002	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895293947	1624895295189	OK	 
GROUP	,GetStarUIMemberList	1624895293946	1624895295190	1242	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895294050	1624895295230	OK	 
GROUP	,GetStarUIMemberList	1624895294049	1624895295231	1180	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895294663	1624895295770	OK	 
GROUP	,GetEpisodeOfCare	1624895294662	1624895295771	1107	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895294371	1624895295832	OK	 
GROUP	,GetStarUIMemberList	1624895294371	1624895295833	1461	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895295040	1624895295990	OK	 
GROUP	,GetStarUIMemberDetail	1624895295040	1624895295990	950	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895296020	1624895296163	OK	 
GROUP	,ChatTranscript	1624895296019	1624895296164	143	OK
REQUEST	,GetStarNote	GetStarNote	1624895295759	1624895296247	OK	 
GROUP	,GetStarNote	1624895295758	1624895296248	488	OK
REQUEST	,GetStarNote	GetStarNote	1624895295831	1624895296260	OK	 
GROUP	,GetStarNote	1624895295830	1624895296261	429	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895294676	1624895296415	OK	 
GROUP	,GetStarUIMemberList	1624895294675	1624895296415	1739	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895294662	1624895296537	OK	 
GROUP	,GetStarUIMemberList	1624895294661	1624895296538	1875	OK
