RUN	StarTest.Framework.StarSim	starsim	1625844692388	StarTest.Framework.StarSim-SIMULATION_1_20:SIMULATION_2_0:SIMULATION_3_0:Iterations_100	3.5.1
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844759380	1625844760018	OK	 
GROUP	GetEpisodeOfCare	1625844759379	1625844760018	638	OK
REQUEST	ChatTranscript	ChatTranscript	1625844759806	1625844760142	OK	 
GROUP	ChatTranscript	1625844759805	1625844760142	336	OK
REQUEST	Authenticate	Authenticate	1625844759795	1625844760172	OK	 
GROUP	Authenticate	1625844759795	1625844760173	377	OK
REQUEST	GetStarNote	GetStarNote	1625844755102	1625844760395	OK	 
GROUP	GetStarNote	1625844755101	1625844760395	5293	OK
REQUEST	GetStarNote	GetStarNote	1625844755545	1625844760403	OK	 
GROUP	GetStarNote	1625844755545	1625844760403	4858	OK
REQUEST	GetStarNote	GetStarNote	1625844759062	1625844760406	OK	 
GROUP	GetStarNote	1625844759061	1625844760406	1344	OK
REQUEST	GetStarNote	GetStarNote	1625844760173	1625844760546	OK	 
GROUP	GetStarNote	1625844760173	1625844760546	373	OK
REQUEST	ChatTranscript	ChatTranscript	1625844760374	1625844760706	OK	 
GROUP	ChatTranscript	1625844760373	1625844760706	332	OK
REQUEST	GetStarNote	GetStarNote	1625844760548	1625844760782	OK	 
GROUP	GetStarNote	1625844760548	1625844760782	234	OK
REQUEST	GetStarNote	GetStarNote	1625844760710	1625844760985	OK	 
GROUP	GetStarNote	1625844760709	1625844760985	275	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844760348	1625844760995	OK	 
GROUP	GetStarUIMemberDetail	1625844760347	1625844760995	647	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844760403	1625844761351	OK	 
GROUP	GetStarUIMemberList	1625844760403	1625844761352	948	OK
REQUEST	GetStarNote	GetStarNote	1625844761616	1625844761781	OK	 
GROUP	GetStarNote	1625844761616	1625844761782	165	OK
REQUEST	GetStarNote	GetStarNote	1625844761905	1625844762040	OK	 
GROUP	GetStarNote	1625844761904	1625844762041	135	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844761734	1625844762107	OK	 
GROUP	GetEpisodeOfCare	1625844761734	1625844762107	373	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844762650	1625844763054	OK	 
GROUP	GetEpisodeOfCare	1625844762649	1625844763054	404	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844762373	1625844763206	OK	 
