RUN	Optum.Framework.OptumSim	optumsim	1625760703072	Optum.Framework.OptumSim-SIMULATION_1_2:SIMULATION_2_0:SIMULATION_3_0:Iterations_100	3.5.1
USER	Users_1	START	1625760704491
REQUEST	,SearchName_Name	Search_3231359	1625760825906	1625760826128	OK	 
GROUP	,SearchName_Name	1625760825452	1625760826129	675	OK
REQUEST	,S_3231359	Select_smith	1625760827131	1625760827232	OK	 
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760827155	1625760827321	OK	 
GROUP	,SearchByActiveMember	1625760827155	1625760827321	166	OK
REQUEST	,S_3231359	request_1	1625760827233	1625760827871	OK	 
REQUEST	,S_3231359	request_3231359	1625760827871	1625760828182	OK	 
GROUP	,S_3231359	1625760827131	1625760828182	1050	OK
REQUEST	,SearchName_Name	Search_1	1625760829142	1625760829300	OK	 
REQUEST	,SearchName_Name	Search_3328306	1625760829300	1625760829712	OK	 
GROUP	,SearchName_Name	1625760829141	1625760829713	570	OK
REQUEST	,DrillDown_smith	70078	1625760829355	1625760829715	OK	 
GROUP	,DrillDown_smith	1625760829354	1625760829715	360	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760830974	1625760831115	OK	 
GROUP	,SearchByActiveMember	1625760830974	1625760831115	141	OK
REQUEST	,S_3328306	Select_roger	1625760831173	1625760831270	OK	 
REQUEST	,S_3328306	request_1	1625760831270	1625760831865	OK	 
REQUEST	,S_3328306	request_3328306	1625760831866	1625760832160	OK	 
GROUP	,S_3328306	1625760831173	1625760832161	986	OK
REQUEST	,SearchName_Name	Search_1	1625760832149	1625760832307	OK	 
REQUEST	,SearchName_Name	Search_1203330606	1625760832308	1625760832511	OK	 
GROUP	,SearchName_Name	1625760832148	1625760832511	361	OK
REQUEST	,S_1203330606	Select_baker	1625760833966	1625760834058	OK	 
REQUEST	,DrillDown_roger	70075	1625760834035	1625760834146	OK	 
GROUP	,DrillDown_roger	1625760834034	1625760834146	111	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760835333	1625760835718	OK	 
GROUP	,SearchByActiveMember	1625760835333	1625760835718	385	OK
REQUEST	,S_1203330606	request_1	1625760834058	1625760836271	OK	 
REQUEST	,S_1203330606	request_1203330606	1625760836271	1625760836578	OK	 
GROUP	,S_1203330606	1625760833965	1625760836579	2612	OK
REQUEST	,SearchName_Name	Search_1	1625760837338	1625760837490	OK	 
REQUEST	,SearchName_Name	Search_3330526	1625760837491	1625760837647	OK	 
GROUP	,SearchName_Name	1625760837337	1625760837647	308	OK
REQUEST	,DrillDown_baker	68633	1625760837731	1625760838011	OK	 
GROUP	,DrillDown_baker	1625760837731	1625760838012	280	OK
REQUEST	,S_3330526	Select_douglas	1625760839248	1625760839347	OK	 
REQUEST	,S_3330526	request_1	1625760839348	1625760839978	OK	 
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760839954	1625760840261	OK	 
GROUP	,SearchByActiveMember	1625760839953	1625760840262	307	OK
REQUEST	,S_3330526	request_3330526	1625760839979	1625760840339	OK	 
GROUP	,S_3330526	1625760839247	1625760840340	1089	OK
REQUEST	,SearchName_Name	Search_1	1625760842022	1625760842451	OK	 
REQUEST	,DrillDown_douglas	67672	1625760842162	1625760842541	OK	 
GROUP	,DrillDown_douglas	1625760842161	1625760842542	379	OK
REQUEST	,SearchName_Name	Search_2003326739	1625760842451	1625760842631	OK	 
GROUP	,SearchName_Name	1625760842021	1625760842631	609	OK
REQUEST	,S_2003326739	Select_thomas	1625760843851	1625760843953	OK	 
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760844513	1625760844645	OK	 
GROUP	,SearchByActiveMember	1625760844513	1625760844645	132	OK
REQUEST	,S_2003326739	request_1	1625760843954	1625760845898	OK	 
REQUEST	,S_2003326739	request_2003326739	1625760845898	1625760846139	OK	 
GROUP	,S_2003326739	1625760843850	1625760846140	2287	OK
REQUEST	,SearchName_Name	Search_1	1625760845949	1625760846217	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625760846218	1625760846819	OK	 
GROUP	,SearchName_Name	1625760845948	1625760846819	869	OK
REQUEST	,DrillDown_thomas	69195	1625760847654	1625760848157	OK	 
GROUP	,DrillDown_thomas	1625760847653	1625760848157	503	OK
REQUEST	,S_3231359	Select_smith	1625760848751	1625760848872	OK	 
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760849291	1625760849423	OK	 
GROUP	,SearchByActiveMember	1625760849291	1625760849424	132	OK
REQUEST	,S_3231359	request_1	1625760848873	1625760850094	OK	 
REQUEST	,S_3231359	request_3231359	1625760850095	1625760850403	OK	 
GROUP	,S_3231359	1625760848750	1625760850404	1650	OK
REQUEST	,SearchName_Name	Search_1	1625760850973	1625760851160	OK	 
REQUEST	,SearchName_Name	Search_3328306	1625760851161	1625760851317	OK	 
GROUP	,SearchName_Name	1625760850972	1625760851317	343	OK
REQUEST	,DrillDown_smith	70078	1625760852361	1625760852490	OK	 
GROUP	,DrillDown_smith	1625760852361	1625760852490	129	OK
REQUEST	,S_3328306	Select_roger	1625760852741	1625760852832	OK	 
REQUEST	,S_3328306	request_1	1625760852832	1625760853783	OK	 
REQUEST	,S_3328306	request_3328306	1625760853783	1625760854016	OK	 
GROUP	,S_3328306	1625760852741	1625760854016	1275	OK
REQUEST	,DrillDown_roger	70075	1625760855242	1625760855362	OK	 
GROUP	,DrillDown_roger	1625760855241	1625760855362	120	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760853819	1625760855550	OK	 
GROUP	,SearchByActiveMember	1625760853819	1625760855550	1731	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760857278	1625760857451	OK	 
GROUP	,SearchByActiveMember	1625760857278	1625760857451	173	OK
REQUEST	,SearchName_Name	Search_1	1625760857244	1625760857503	OK	 
REQUEST	,SearchName_Name	Search_1203330606	1625760857504	1625760857722	OK	 
GROUP	,SearchName_Name	1625760857243	1625760857722	477	OK
REQUEST	,S_1203330606	Select_baker	1625760858792	1625760858886	OK	 
REQUEST	,SearchName_Name	Search_1	1625760859339	1625760859721	OK	 
REQUEST	,SearchName_Name	Search_3330526	1625760859722	1625760860539	OK	 
GROUP	,SearchName_Name	1625760859338	1625760860540	1199	OK
REQUEST	,S_1203330606	request_1	1625760858886	1625760860746	OK	 
REQUEST	,S_1203330606	request_1203330606	1625760860746	1625760861356	OK	 
GROUP	,S_1203330606	1625760858791	1625760861357	2564	OK
REQUEST	,S_3330526	Select_douglas	1625760861599	1625760861698	OK	 
REQUEST	,S_3330526	request_1	1625760861698	1625760862423	OK	 
REQUEST	,DrillDown_baker	68633	1625760862411	1625760862594	OK	 
GROUP	,DrillDown_baker	1625760862410	1625760862595	183	OK
REQUEST	,S_3330526	request_3330526	1625760862424	1625760862651	OK	 
GROUP	,S_3330526	1625760861598	1625760862651	1051	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760864049	1625760864443	OK	 
GROUP	,SearchByActiveMember	1625760864048	1625760864443	394	OK
